sed;33;2.032
et;29;1.786
in;27;1.663
aliquam;27;1.663
nec;27;1.663
ut;26;1.601
at;23;1.416
ac;22;1.355
vestibulum;22;1.355
nunc;21;1.293
vel;21;1.293
eget;21;1.293
mauris;20;1.232
sit;20;1.232
amet;20;1.232
tincidunt;19;1.170
nulla;19;1.170
id;18;1.108
a;18;1.108
mi;18;1.108
vitae;18;1.108
lorem;17;1.047
quis;17;1.047
eu;17;1.047
faucibus;16;0.985
ante;15;0.924
ipsum;14;0.862
elit;13;0.800
dolor;13;0.800
turpis;13;0.800
felis;13;0.800
non;13;0.800
mollis;12;0.739
augue;12;0.739
interdum;12;0.739
euismod;12;0.739
venenatis;12;0.739
risus;12;0.739
libero;12;0.739
elementum;11;0.677
purus;11;0.677
urna;11;0.677
luctus;11;0.677
arcu;11;0.677
vehicula;11;0.677
eros;11;0.677
donec;11;0.677
neque;11;0.677
consectetur;11;0.677
leo;10;0.616
nisl;10;0.616
porttitor;10;0.616
egestas;10;0.616
facilisis;10;0.616
vivamus;10;0.616
ligula;10;0.616
vulputate;10;0.616
orci;10;0.616
massa;10;0.616
suspendisse;10;0.616
commodo;9;0.554
justo;9;0.554
volutpat;9;0.554
pellentesque;9;0.554
convallis;9;0.554
morbi;9;0.554
condimentum;9;0.554
ornare;9;0.554
praesent;9;0.554
est;9;0.554
cursus;9;0.554
erat;9;0.554
varius;9;0.554
mattis;9;0.554
lectus;9;0.554
tortor;9;0.554
dui;9;0.554
iaculis;8;0.493
sem;8;0.493
ultrices;8;0.493
placerat;8;0.493
eleifend;8;0.493
imperdiet;8;0.493
feugiat;8;0.493
fermentum;8;0.493
ex;8;0.493
posuere;8;0.493
phasellus;8;0.493
lacinia;8;0.493
pharetra;8;0.493
blandit;8;0.493
curabitur;8;0.493
sollicitudin;8;0.493
pretium;8;0.493
gravida;8;0.493
aenean;7;0.431
bibendum;7;0.431
semper;7;0.431
finibus;7;0.431
velit;7;0.431
fusce;7;0.431
ullamcorper;7;0.431
dapibus;7;0.431
diam;7;0.431
magna;7;0.431
auctor;7;0.431
sapien;7;0.431
sagittis;7;0.431
maximus;7;0.431
tristique;7;0.431
accumsan;7;0.431
molestie;7;0.431
nullam;7;0.431
lacus;7;0.431
cras;7;0.431
hendrerit;7;0.431
quisque;7;0.431
tempor;6;0.369
nam;6;0.369
laoreet;6;0.369
congue;6;0.369
pulvinar;6;0.369
porta;6;0.369
quam;6;0.369
nibh;6;0.369
malesuada;6;0.369
etiam;6;0.369
suscipit;6;0.369
enim;6;0.369
consequat;6;0.369
tellus;6;0.369
viverra;6;0.369
tempus;6;0.369
proin;6;0.369
aliquet;6;0.369
duis;5;0.308
metus;5;0.308
dictum;5;0.308
ultricies;5;0.308
nisi;5;0.308
rutrum;5;0.308
odio;5;0.308
scelerisque;5;0.308
rhoncus;5;0.308
per;4;0.246
integer;4;0.246
maecenas;4;0.246
fringilla;4;0.246
efficitur;3;0.185
potenti;3;0.185
fames;3;0.185
primis;3;0.185
habitant;2;0.123
ad;2;0.123
sodales;2;0.123
sociosqu;2;0.123
platea;2;0.123
taciti;2;0.123
aptent;2;0.123
dictumst;2;0.123
conubia;2;0.123
inceptos;2;0.123
himenaeos;2;0.123
torquent;2;0.123
habitasse;2;0.123
adipiscing;2;0.123
hac;2;0.123
nostra;2;0.123
lobortis;2;0.123
dignissim;2;0.123
litora;2;0.123
senectus;2;0.123
netus;2;0.123
curae;2;0.123
class;2;0.123
cubilia;2;0.123
ridiculus;1;0.062
penatibus;1;0.062
magnis;1;0.062
parturient;1;0.062
dis;1;0.062
nascetur;1;0.062
natoque;1;0.062
facilisi;1;0.062
montes;1;0.062
mus;1;0.062
